360,5,0
358,5,0
356,5,0
354,5,0
352,5,0
350,5,0
348,5,0
346,5,0
344,5,0
342,5,0
340,5,0
338,5,0
336,5,0
334,5,0
332,5,0
330,5,0
328,5,0
326,5,0
324,5,0
322,5,0
320,5,0
318,5,0
316,5,0
314,5,0
312,5,0
310,5,0
308,5,0
306,5,0
304,5,0
302,5,0
300,5,0
298,5,0
296,5,0
294,5,0
292,4,0
290,4,0
288,4,0
286,4,0
284,4,0
282,4,0
280,4,0
278,4,0
276,4,0
274,4,0
272,4,0
270,4,0
268,4,0
266,4,0
264,4,0
262,4,0
260,4,0
258,4,0
256,4,0
254,4,0
252,4,0
250,4,0
248,4,0
246,4,0
244,4,0
242,4,0
240,4,0
238,4,0
236,4,0
234,4,0
232,4,0
230,4,0
228,4,0
226,4,0
224,4,0
222,4,0
220,4,0
218,3,0
216,3,0
214,3,0
212,3,0
210,3,0
208,3,0
206,3,0
204,3,0
202,3,0
200,3,0
198,3,0
196,3,0
194,3,0
192,3,0
190,3,0
188,3,0
186,3,0
184,3,0
182,3,0
180,3,0
178,3,0
176,3,0
174,3,0
172,3,0
170,3,0
168,3,0
166,3,0
164,3,0
162,3,0
160,3,0
158,3,0
156,3,0
154,3,0
152,3,0
150,3,0
148,3,0
146,2,0
144,2,0
142,2,0
140,2,0
138,2,0
136,2,0
134,2,0
132,2,0
130,2,0
128,2,0
